,playerId,name,team,position,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
421,8474690,Kevin Poulin,NYI,G,28,97519.0,72.91,89.0,1582.0,56.27,45.0,191.07,227.0,828.67,820.0,25.64,26.0,473.77,346.0,345.13,422.0,69.43,889.0,218.0,60.0,26.26,25.61,21.04,29.0,35.0,25.0,415.0,0.0,0.0
426,8475299,Joni Ortio,CGY,G,9,30055.0,20.98,21.0,429.0,14.6,14.0,47.0,54.0,209.79,193.0,7.12,4.0,113.71,89.0,88.11,111.0,18.94,213.0,57.0,21.0,6.27,7.08,7.63,5.0,12.0,4.0,138.0,0.0,0.0
431,8469608,Mike Smith,ARI,G,62,216598.0,168.52,159.0,3442.0,130.9,151.0,422.23,441.0,1859.72,1871.0,58.51,66.0,1034.48,837.0,764.82,931.0,161.59,1924.0,495.0,162.0,54.75,59.64,54.14,55.0,50.0,54.0,861.0,14.0,7.0
436,8477202,Andrew Hammond,OTT,G,1,2071.0,1.13,0.0,17.0,0.55,0.0,2.27,4.0,9.4,11.0,0.62,2.0,5.11,3.0,3.67,6.0,1.13,11.0,0.0,2.0,0.29,0.0,0.84,0.0,0.0,0.0,4.0,0.0,0.0
441,8475681,Ben Scrivens,EDM,G,40,132607.0,109.02,94.0,2179.0,83.3,94.0,281.86,272.0,1225.33,1205.0,31.93,38.0,671.83,570.0,515.18,632.0,102.89,1297.0,297.0,107.0,36.81,36.54,35.67,34.0,31.0,29.0,478.0,6.0,3.0
446,8477293,Antti Raanta,CHI,G,25,82600.0,54.84,63.0,1151.0,43.51,40.0,135.69,135.0,607.19,610.0,22.63,24.0,344.26,255.0,245.98,329.0,53.13,607.0,192.0,45.0,18.63,23.41,12.8,22.0,22.0,19.0,307.0,0.0,0.0
451,8471418,Anton Khudobin,CAR,G,36,125058.0,92.8,80.0,1989.0,74.7,85.0,256.87,224.0,1108.45,1076.0,34.85,40.0,617.52,510.0,465.62,602.0,90.19,1198.0,271.0,75.0,36.44,33.55,22.82,23.0,29.0,28.0,445.0,0.0,0.0
456,8475361,Jonas Gustavsson,DET,G,27,93040.0,57.57,68.0,1298.0,48.55,49.0,161.73,156.0,709.93,735.0,23.76,25.0,400.2,303.0,294.35,385.0,55.8,760.0,178.0,47.0,21.0,21.11,15.46,19.0,25.0,24.0,313.0,0.0,0.0
461,8475663,Eddie Lack,VAN,G,41,139132.0,90.5,93.0,2067.0,73.8,57.0,251.68,289.0,1078.37,1052.0,36.61,41.0,607.5,455.0,441.56,556.0,87.78,1148.0,281.0,72.0,32.98,34.57,22.96,31.0,32.0,30.0,566.0,0.0,0.0
466,8474889,Martin Jones,L.A,G,19,65680.0,45.35,33.0,935.0,36.77,39.0,116.82,125.0,511.29,500.0,19.52,30.0,283.38,240.0,203.41,239.0,43.11,523.0,140.0,39.0,15.35,17.23,12.77,10.0,10.0,13.0,233.0,0.0,0.0
471,8468540,Dan Ellis,FLA,G,20,61639.0,48.87,62.0,991.0,38.35,52.0,124.19,101.0,540.26,514.0,17.61,17.0,294.02,239.0,218.73,272.0,46.49,547.0,148.0,47.0,15.67,17.89,15.31,25.0,21.0,16.0,249.0,0.0,0.0
476,8455710,Martin Brodeur,N.J,G,39,137809.0,77.77,96.0,1657.0,60.69,53.0,209.36,191.0,929.16,971.0,31.09,24.0,508.87,360.0,398.91,547.0,75.49,991.0,229.0,65.0,27.8,27.63,22.34,49.0,22.0,25.0,372.0,2.0,1.0
481,8470594,Marc-Andre Fleury,PIT,G,64,227245.0,145.9,150.0,3436.0,123.44,142.0,416.02,340.0,1799.48,1774.0,57.86,83.0,1020.13,843.0,754.74,952.0,141.19,1962.0,442.0,115.0,54.6,52.79,38.52,55.0,56.0,39.0,917.0,4.0,2.0
1,8470140,Kari Lehtonen,DAL,G,65,221861.0,173.72,181.0,3618.0,130.91,154.0,439.2,424.0,1905.76,1875.0,65.85,64.0,1051.28,873.0,787.93,949.0,166.81,1986.0,494.0,168.0,55.21,61.29,57.23,59.0,55.0,67.0,970.0,2.0,1.0
6,8470147,Curtis McElhinney,CBJ,G,32,102601.0,80.29,82.0,1669.0,63.29,69.0,208.73,199.0,912.74,949.0,25.98,46.0,518.96,456.0,372.78,418.0,76.84,941.0,260.0,73.0,26.59,30.79,22.91,27.0,29.0,26.0,395.0,0.0,0.0
11,8475252,Matt Hackett,BUF,G,5,15015.0,12.05,18.0,285.0,10.94,11.0,35.39,33.0,156.61,155.0,3.13,2.0,93.5,62.0,65.97,96.0,11.54,180.0,33.0,10.0,5.49,3.73,2.83,7.0,6.0,5.0,62.0,0.0,0.0
16,8475622,Carter Hutton,NSH,G,18,60591.0,38.38,44.0,883.0,32.81,32.0,105.43,101.0,465.68,450.0,15.35,12.0,264.89,221.0,193.81,232.0,37.0,503.0,117.0,30.0,15.12,14.01,9.25,23.0,13.0,8.0,233.0,0.0,0.0
21,8477293,Antti Raanta,CHI,G,14,47531.0,29.86,25.0,688.0,26.4,17.0,83.95,98.0,374.17,389.0,14.74,16.0,211.26,167.0,153.25,204.0,29.07,398.0,97.0,22.0,11.24,11.66,6.97,9.0,6.0,10.0,171.0,0.0,0.0
