,playerId,name,team,position,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
206,8476444,Christopher Gibson,NYI,G,4,11642.0,7.08,11.0,173.0,5.9,1.0,20.4,20.0,93.69,93.0,2.74,1.0,53.27,32.0,41.45,62.0,6.98,103.0,25.0,3.0,3.07,3.11,0.91,7.0,3.0,1.0,42.0,0.0,0.0
211,8471469,Pekka Rinne,NSH,G,66,233722.0,136.44,161.0,3298.0,111.61,90.0,386.17,441.0,1684.51,1745.0,61.82,75.0,937.34,718.0,707.01,856.0,132.79,1822.0,388.0,122.0,48.63,46.56,41.25,50.0,47.0,64.0,966.0,6.0,3.0
216,8468038,Michael Leighton,CHI,G,1,2369.0,0.75,1.0,23.0,1.32,3.0,3.44,1.0,14.61,17.0,0.7,0.0,7.47,4.0,5.53,10.0,0.74,16.0,3.0,0.0,0.39,0.36,0.0,1.0,0.0,0.0,4.0,0.0,0.0
221,8473972,Jonas Hiller,CGY,G,26,81052.0,61.66,79.0,1326.0,47.42,51.0,158.17,146.0,690.08,654.0,20.75,19.0,370.59,275.0,285.87,379.0,59.41,696.0,190.0,60.0,19.22,23.37,19.08,24.0,30.0,25.0,380.0,0.0,0.0
226,8471306,Thomas Greiss,NYI,G,41,137239.0,102.18,90.0,2247.0,81.49,71.0,258.99,249.0,1164.41,1197.0,34.2,44.0,656.61,544.0,493.01,642.0,97.93,1235.0,315.0,80.0,36.04,38.92,27.21,32.0,25.0,33.0,617.0,2.0,1.0
231,8470880,Brian Elliott,STL,G,42,135780.0,104.81,78.0,2080.0,79.29,73.0,255.03,299.0,1128.8,1114.0,32.78,31.0,628.39,485.0,446.0,568.0,97.4,1154.0,286.0,110.0,33.39,34.16,37.26,25.0,28.0,25.0,530.0,2.0,1.0
236,8476904,Chris Driedger,OTT,G,1,1909.0,1.03,0.0,21.0,0.76,1.0,2.25,2.0,10.45,11.0,0.49,1.0,5.97,5.0,3.67,6.0,1.01,10.0,3.0,1.0,0.29,0.41,0.33,0.0,0.0,0.0,7.0,0.0,0.0
241,8475299,Joni Ortio,CGY,G,22,71733.0,50.24,55.0,1110.0,40.77,45.0,135.59,144.0,592.8,564.0,18.41,14.0,329.49,231.0,241.02,326.0,48.7,617.0,156.0,43.0,17.47,19.03,13.74,15.0,22.0,18.0,294.0,2.0,1.0
246,8475663,Eddie Lack,CAR,G,34,115206.0,86.97,90.0,1685.0,65.57,77.0,215.0,203.0,948.3,910.0,29.9,32.0,530.11,418.0,389.5,485.0,83.44,945.0,299.0,74.0,29.68,35.12,22.16,32.0,39.0,19.0,367.0,0.0,0.0
251,8471186,Yann Danis,N.J,G,2,3030.0,2.59,4.0,44.0,1.67,3.0,5.65,3.0,24.68,18.0,0.73,1.0,12.81,4.0,9.45,16.0,2.45,19.0,12.0,2.0,0.79,1.29,0.5,2.0,1.0,1.0,11.0,0.0,0.0
256,8476914,Joonas Korpisalo,CBJ,G,31,108183.0,84.42,78.0,1852.0,64.5,66.0,227.85,224.0,970.62,969.0,28.13,61.0,544.67,437.0,397.65,472.0,81.12,1006.0,273.0,73.0,28.19,32.31,23.92,26.0,31.0,21.0,500.0,2.0,1.0
261,8474765,Anders Lindback,ARI,G,19,54368.0,36.7,47.0,797.0,30.48,28.0,100.93,88.0,440.96,443.0,14.23,17.0,250.71,190.0,182.18,247.0,35.91,472.0,113.0,31.0,12.64,14.04,10.02,13.0,19.0,15.0,181.0,0.0,0.0
266,8471715,Ondrej Pavelec,WPG,G,33,113941.0,91.5,88.0,1731.0,65.95,65.0,212.77,209.0,930.83,918.0,29.56,27.0,511.57,437.0,371.3,454.0,87.41,928.0,254.0,101.0,26.55,31.57,33.38,24.0,33.0,31.0,448.0,0.0,0.0
271,8477202,Andrew Hammond,OTT,G,24,82939.0,68.03,61.0,1327.0,49.37,54.0,163.06,177.0,714.32,712.0,21.54,15.0,396.75,295.0,288.71,372.0,65.69,724.0,199.0,66.0,22.27,24.35,21.41,16.0,14.0,31.0,338.0,2.0,1.0
276,8470594,Marc-Andre Fleury,PIT,G,58,207753.0,135.55,132.0,3088.0,109.9,113.0,381.93,383.0,1632.45,1665.0,57.5,77.0,924.86,735.0,684.46,858.0,130.9,1816.0,350.0,124.0,52.74,42.3,40.51,50.0,42.0,40.0,798.0,2.0,1.0
281,8475215,Robin Lehner,BUF,G,21,68645.0,47.65,48.0,1129.0,40.46,39.0,146.17,152.0,613.55,635.0,19.01,21.0,348.85,263.0,257.35,337.0,45.77,667.0,148.0,46.0,17.34,17.04,13.28,20.0,18.0,10.0,268.0,8.0,4.0
286,8474550,Antti Niemi,DAL,G,48,158063.0,118.08,118.0,2381.0,88.74,101.0,300.99,261.0,1300.78,1246.0,46.08,46.0,719.46,586.0,535.14,696.0,112.35,1321.0,363.0,122.0,35.17,43.9,39.02,36.0,30.0,52.0,575.0,2.0,1.0
291,8474682,Dustin Tokarski,MTL,G,6,13570.0,7.93,12.0,184.0,6.52,6.0,22.52,21.0,96.4,98.0,3.39,4.0,54.37,38.0,39.55,51.0,7.78,104.0,24.0,6.0,2.89,3.06,1.98,2.0,6.0,4.0,50.0,0.0,0.0
296,8474593,Jacob Markstrom,VAN,G,32,110846.0,91.19,84.0,1712.0,68.23,75.0,218.38,268.0,962.53,988.0,25.34,30.0,541.79,407.0,396.52,482.0,87.32,984.0,281.0,83.0,29.73,33.75,27.71,35.0,24.0,25.0,364.0,4.0,2.0
301,8476412,Jordan Binnington,STL,G,1,767.0,0.34,1.0,7.0,0.3,0.0,0.82,1.0,4.26,4.0,0.21,0.0,2.51,1.0,1.91,3.0,0.34,5.0,1.0,0.0,0.22,0.12,0.0,1.0,0.0,0.0,1.0,0.0,0.0
306,8470320,Cam Ward,CAR,G,52,181970.0,126.72,122.0,2523.0,93.42,93.0,315.94,303.0,1387.93,1343.0,49.71,62.0,759.53,610.0,571.46,739.0,122.36,1402.0,400.0,110.0,43.03,47.86,35.83,43.0,45.0,34.0,611.0,0.0,0.0
311,8471695,Tuukka Rask,BOS,G,64,220683.0,166.84,157.0,3544.0,129.23,99.0,431.11,465.0,1890.62,1855.0,61.17,62.0,1057.68,829.0,790.82,1005.0,161.8,2000.0,484.0,154.0,57.73,57.65,51.47,42.0,52.0,63.0,906.0,0.0,0.0
316,8475883,Frederik Andersen,ANA,G,43,137876.0,89.61,88.0,2069.0,73.69,53.0,251.79,216.0,1094.53,1086.0,37.69,50.0,622.35,501.0,464.42,645.0,87.05,1204.0,259.0,75.0,33.36,31.88,24.37,33.0,28.0,27.0,531.0,2.0,1.0
321,8476309,Jason Kasdorf,BUF,G,1,3600.0,1.86,4.0,53.0,1.6,0.0,6.91,8.0,28.04,30.0,1.19,0.0,15.59,7.0,12.15,20.0,1.84,33.0,5.0,1.0,0.9,0.71,0.24,1.0,2.0,1.0,14.0,0.0,0.0
326,8477293,Antti Raanta,NYR,G,25,69021.0,48.5,43.0,1065.0,36.67,39.0,121.54,122.0,538.09,530.0,16.36,19.0,296.98,253.0,222.85,270.0,46.85,546.0,153.0,45.0,15.96,18.84,13.7,8.0,20.0,15.0,321.0,0.0,0.0
331,8474636,Michael Hutchinson,WPG,G,30,95157.0,68.62,75.0,1419.0,55.15,60.0,179.56,233.0,785.14,805.0,23.41,19.0,438.2,329.0,317.21,365.0,66.26,812.0,206.0,66.0,23.84,25.46,19.32,19.0,30.0,26.0,335.0,0.0,0.0
336,8473575,Semyon Varlamov,COL,G,57,189565.0,151.09,148.0,3298.0,120.63,151.0,387.36,367.0,1714.38,1714.0,45.51,46.0,963.19,750.0,717.13,936.0,145.3,1809.0,444.0,142.0,50.64,53.67,46.79,56.0,47.0,45.0,903.0,6.0,3.0
341,8475234,J.F. Berube,NYI,G,7,23922.0,20.18,18.0,363.0,13.41,16.0,43.82,56.0,191.73,210.0,6.52,9.0,105.91,82.0,77.73,90.0,18.61,192.0,53.0,23.0,6.15,6.25,7.77,5.0,7.0,6.0,95.0,0.0,0.0
346,8473503,James Reimer,S.J,G,40,137427.0,99.11,88.0,2078.0,75.05,56.0,260.95,290.0,1129.54,1128.0,39.74,45.0,632.65,515.0,469.99,578.0,96.11,1176.0,320.0,79.0,33.15,37.61,28.34,30.0,34.0,24.0,503.0,0.0,0.0
351,8473523,Jhonas Enroth,L.A,G,16,51378.0,37.23,31.0,733.0,27.28,27.0,92.59,101.0,396.55,399.0,13.77,16.0,219.69,164.0,159.43,208.0,35.47,402.0,109.0,38.0,11.48,13.27,12.49,11.0,9.0,11.0,184.0,0.0,0.0
356,8475622,Carter Hutton,NSH,G,17,58736.0,37.77,38.0,916.0,32.23,34.0,108.56,119.0,472.04,464.0,14.63,10.0,268.13,204.0,199.74,250.0,36.16,514.0,122.0,26.0,14.86,15.28,7.62,18.0,16.0,4.0,254.0,0.0,0.0
361,8475839,Louis Domingue,ARI,G,39,132364.0,97.97,101.0,2201.0,79.84,94.0,274.31,307.0,1176.7,1143.0,35.48,37.0,657.89,517.0,497.26,588.0,95.19,1270.0,281.0,96.0,34.26,33.64,30.07,27.0,39.0,35.0,554.0,0.0,0.0
366,8475195,Anders Nilsson,STL,G,29,90035.0,72.04,78.0,1419.0,54.3,58.0,179.59,170.0,783.75,789.0,23.99,25.0,442.86,374.0,320.84,383.0,68.96,816.0,218.0,61.0,24.94,26.89,20.21,28.0,33.0,17.0,324.0,4.0,2.0
371,8473553,Jeff Zatkoff,PIT,G,14,43923.0,31.02,34.0,671.0,25.11,23.0,91.72,96.0,385.05,408.0,12.21,15.0,216.03,165.0,156.63,195.0,30.0,427.0,80.0,26.0,11.8,9.68,9.53,9.0,13.0,12.0,138.0,0.0,0.0
376,8473607,Michal Neuvirth,PHI,G,32,109531.0,79.56,69.0,1747.0,61.5,78.0,210.56,238.0,906.86,908.0,29.13,41.0,491.37,362.0,369.96,464.0,76.54,945.0,221.0,76.0,26.75,27.09,25.73,18.0,23.0,28.0,505.0,2.0,1.0
381,8478999,Niklas Treutle,ARI,G,2,2982.0,2.77,5.0,41.0,1.25,2.0,4.23,3.0,20.08,20.0,0.79,0.0,9.97,7.0,8.16,10.0,2.76,20.0,4.0,3.0,0.48,0.43,1.86,0.0,2.0,3.0,14.0,2.0,1.0
386,8476883,Andrei Vasilevskiy,T.B,G,24,75518.0,51.48,58.0,1207.0,44.5,32.0,147.78,167.0,636.08,646.0,19.63,14.0,368.13,293.0,269.48,339.0,49.69,703.0,166.0,33.0,20.75,19.65,11.08,27.0,22.0,9.0,305.0,0.0,0.0
391,8477424,Juuse Saros,NSH,G,1,3481.0,1.07,3.0,34.0,1.67,4.0,5.79,6.0,23.32,23.0,0.86,4.0,12.18,6.0,9.53,12.0,1.06,29.0,1.0,1.0,0.61,0.18,0.27,2.0,1.0,0.0,3.0,0.0,0.0
396,8475809,Scott Wedgewood,N.J,G,4,14445.0,9.12,5.0,207.0,7.74,8.0,26.29,35.0,117.38,116.0,3.03,5.0,65.35,37.0,47.72,68.0,8.94,121.0,36.0,3.0,3.84,4.45,0.84,2.0,2.0,1.0,47.0,0.0,0.0
401,8476343,Garret Sparks,TOR,G,17,58497.0,43.45,49.0,817.0,31.13,31.0,105.72,87.0,463.79,456.0,16.48,19.0,256.29,221.0,188.52,239.0,42.22,471.0,135.0,34.0,13.85,17.09,12.51,10.0,23.0,16.0,177.0,0.0,0.0
406,8475831,Philipp Grubauer,WSH,G,22,66662.0,46.75,43.0,1020.0,38.29,40.0,123.12,112.0,544.32,523.0,17.85,14.0,304.94,241.0,225.33,303.0,45.24,558.0,162.0,36.0,16.89,19.33,10.53,15.0,19.0,9.0,264.0,2.0,1.0
411,8471418,Anton Khudobin,ANA,G,9,21380.0,18.21,16.0,340.0,13.0,15.0,39.87,35.0,178.63,175.0,5.15,9.0,102.1,94.0,70.95,84.0,16.82,176.0,55.0,19.0,5.17,6.36,6.69,6.0,7.0,3.0,90.0,0.0,0.0
416,8469608,Mike Smith,ARI,G,32,105210.0,76.01,77.0,1722.0,64.58,51.0,215.74,221.0,944.22,921.0,23.52,20.0,540.5,437.0,395.67,504.0,73.75,1033.0,235.0,55.0,29.29,27.95,18.76,26.0,33.0,18.0,399.0,2.0,1.0
421,8470645,Corey Crawford,CHI,G,58,199359.0,147.94,131.0,3058.0,117.11,143.0,386.41,363.0,1663.92,1719.0,50.66,63.0,928.14,731.0,661.58,874.0,140.56,1728.0,419.0,150.0,47.51,50.77,49.66,50.0,36.0,45.0,761.0,2.0,1.0
426,8471227,Devan Dubnyk,MIN,G,67,230484.0,150.24,150.0,3545.0,127.22,134.0,429.38,438.0,1861.11,1829.0,57.98,66.0,1054.31,805.0,785.41,1006.0,144.43,2022.0,470.0,115.0,55.82,56.49,37.92,53.0,51.0,46.0,938.0,8.0,4.0
431,8476433,Magnus Hellberg,NYR,G,1,1200.0,0.52,2.0,12.0,0.39,0.0,1.71,2.0,6.51,6.0,0.39,1.0,3.42,1.0,2.73,4.0,0.51,6.0,3.0,0.0,0.15,0.37,0.0,0.0,2.0,0.0,3.0,0.0,0.0
436,8468011,Ryan Miller,VAN,G,51,182609.0,136.04,137.0,2871.0,109.28,81.0,355.14,436.0,1572.65,1634.0,45.14,55.0,883.89,658.0,657.99,830.0,131.31,1609.0,478.0,107.0,47.58,56.42,32.04,48.0,56.0,33.0,677.0,2.0,1.0
441,8471219,Al Montoya,FLA,G,25,81074.0,53.52,49.0,1129.0,41.91,43.0,143.69,168.0,617.8,608.0,20.69,22.0,348.05,250.0,258.19,330.0,51.39,662.0,157.0,47.0,18.81,19.33,15.37,14.0,25.0,10.0,263.0,2.0,1.0
446,8477831,Pheonix Copley,STL,G,1,1466.0,0.3,1.0,7.0,0.34,0.0,1.31,2.0,5.26,6.0,0.43,1.0,2.93,3.0,1.95,1.0,0.3,6.0,1.0,0.0,0.15,0.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0
451,8476945,Connor Hellebuyck,WPG,G,26,86008.0,69.46,56.0,1286.0,47.45,54.0,156.17,146.0,681.75,683.0,22.3,14.0,378.33,294.0,270.85,376.0,63.87,702.0,164.0,78.0,20.11,20.25,29.1,15.0,12.0,29.0,342.0,0.0,0.0
456,8473461,Steve Mason,PHI,G,54,189026.0,148.81,132.0,2950.0,102.66,131.0,363.63,429.0,1561.75,1602.0,52.08,41.0,838.66,602.0,645.31,799.0,141.83,1580.0,423.0,148.0,46.76,52.42,49.63,35.0,52.0,45.0,799.0,2.0,1.0
1,8470140,Kari Lehtonen,DAL,G,59,190629.0,161.81,151.0,3061.0,112.31,155.0,369.81,344.0,1608.67,1547.0,52.41,62.0,873.89,692.0,642.65,815.0,154.06,1582.0,458.0,174.0,46.94,57.21,57.66,47.0,58.0,46.0,847.0,4.0,2.0
6,8470147,Curtis McElhinney,TOR,G,21,68079.0,58.93,51.0,1106.0,40.81,50.0,145.35,115.0,625.05,616.0,20.43,22.0,341.96,261.0,248.78,341.0,55.67,627.0,166.0,63.0,17.55,19.74,21.64,22.0,16.0,13.0,250.0,0.0,0.0
11,8475789,Jack Campbell,L.A,G,1,1200.0,1.48,0.0,10.0,0.39,0.0,1.78,2.0,7.57,5.0,0.43,2.0,3.54,3.0,2.6,5.0,1.4,6.0,0.0,4.0,0.18,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
16,8477225,Jared Coreau,DET,G,14,42436.0,32.77,41.0,669.0,25.49,25.0,84.6,80.0,368.56,363.0,10.79,9.0,206.5,162.0,151.33,194.0,30.96,382.0,96.0,35.0,10.88,11.65,10.23,16.0,10.0,15.0,156.0,0.0,0.0
21,8477312,Antoine Bibeau,TOR,G,2,7239.0,5.59,4.0,114.0,3.79,1.0,13.95,13.0,61.2,55.0,2.64,3.0,33.72,30.0,28.05,35.0,5.56,68.0,17.0,2.0,2.21,2.16,1.23,0.0,2.0,2.0,27.0,0.0,0.0
26,8471219,Al Montoya,MTL,G,19,67493.0,47.28,50.0,998.0,38.92,35.0,125.06,150.0,547.9,569.0,17.64,33.0,311.02,239.0,229.75,276.0,45.63,582.0,148.0,40.0,17.78,17.36,12.14,22.0,16.0,12.0,228.0,2.0,1.0
31,8475215,Robin Lehner,BUF,G,59,204328.0,152.51,152.0,3321.0,126.04,124.0,424.2,378.0,1829.83,1912.0,53.33,61.0,1050.81,807.0,752.0,1041.0,147.48,1979.0,464.0,123.0,55.3,55.39,41.82,43.0,60.0,49.0,755.0,6.0,3.0
36,8479292,Charlie Lindgren,MTL,G,2,7302.0,4.75,3.0,93.0,3.61,0.0,11.56,20.0,56.27,59.0,1.92,1.0,32.2,28.0,26.01,28.0,4.68,60.0,17.0,3.0,1.83,2.13,0.79,2.0,1.0,0.0,13.0,0.0,0.0
41,8475195,Anders Nilsson,BUF,G,26,89055.0,77.75,66.0,1545.0,60.11,71.0,195.95,219.0,853.35,858.0,22.88,23.0,488.48,357.0,344.38,447.0,74.48,892.0,233.0,71.0,26.16,28.15,23.43,21.0,20.0,25.0,349.0,0.0,0.0
46,8476945,Connor Hellebuyck,WPG,G,55,180811.0,136.35,144.0,2850.0,104.84,114.0,350.03,339.0,1523.58,1567.0,47.68,52.0,853.95,666.0,625.68,813.0,131.32,1656.0,349.0,125.0,49.04,42.66,44.65,58.0,46.0,40.0,720.0,0.0,0.0
51,8475876,Zane McIntyre,BOS,G,8,19957.0,13.23,22.0,290.0,10.65,14.0,34.18,28.0,148.02,155.0,6.16,6.0,82.0,55.0,61.13,82.0,12.74,152.0,41.0,13.0,4.1,5.39,3.74,5.0,10.0,7.0,84.0,0.0,0.0
56,8470594,Marc-Andre Fleury,PIT,G,38,127515.0,107.42,107.0,2084.0,78.74,101.0,254.62,215.0,1123.59,1181.0,36.07,63.0,612.4,501.0,458.44,581.0,102.58,1105.0,333.0,110.0,31.38,40.94,35.11,29.0,47.0,31.0,536.0,6.0,3.0
61,8474682,Dustin Tokarski,ANA,G,1,587.0,0.18,0.0,8.0,0.57,0.0,1.0,0.0,5.19,5.0,0.15,0.0,3.41,4.0,1.69,3.0,0.18,7.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,8476433,Magnus Hellberg,NYR,G,2,4711.0,2.79,2.0,66.0,2.0,3.0,7.17,12.0,30.8,28.0,1.52,2.0,16.31,10.0,12.77,14.0,2.74,30.0,9.0,3.0,0.8,1.21,0.78,0.0,0.0,2.0,24.0,0.0,0.0
71,8469608,Mike Smith,ARI,G,53,184637.0,170.19,151.0,3295.0,129.18,155.0,414.09,450.0,1830.52,1753.0,46.27,40.0,1025.35,839.0,751.19,874.0,161.72,1913.0,472.0,165.0,56.28,57.17,56.74,47.0,53.0,51.0,745.0,14.0,7.0
76,8473461,Steve Mason,PHI,G,58,193477.0,142.89,143.0,3021.0,104.41,120.0,361.07,366.0,1565.88,1556.0,53.75,68.0,852.72,675.0,652.89,799.0,138.34,1582.0,455.0,128.0,45.89,56.43,40.57,33.0,61.0,49.0,856.0,0.0,0.0
81,8473614,Richard Bachman,VAN,G,5,17711.0,14.88,13.0,305.0,11.47,11.0,38.1,42.0,164.76,162.0,4.37,7.0,96.55,78.0,69.53,87.0,14.57,177.0,44.0,15.0,5.92,5.16,3.81,4.0,6.0,3.0,69.0,0.0,0.0
86,8474636,Michael Hutchinson,WPG,G,28,82700.0,59.46,67.0,1253.0,46.0,37.0,149.2,194.0,654.83,691.0,19.18,21.0,374.22,261.0,273.29,357.0,57.79,712.0,173.0,46.0,22.42,20.9,16.14,27.0,18.0,22.0,322.0,0.0,0.0
91,8479496,David Rittich,CGY,G,1,1200.0,0.78,1.0,21.0,0.69,1.0,2.2,3.0,8.72,10.0,0.19,0.0,5.48,5.0,3.51,3.0,0.74,10.0,2.0,1.0,0.3,0.21,0.27,0.0,1.0,0.0,8.0,0.0,0.0
96,8476316,Laurent Brossoit,EDM,G,8,19947.0,13.64,11.0,305.0,10.69,7.0,34.88,31.0,154.05,153.0,5.27,5.0,86.42,84.0,62.45,74.0,13.02,155.0,49.0,9.0,4.94,5.94,2.75,5.0,6.0,0.0,92.0,0.0,0.0
101,8475663,Eddie Lack,CAR,G,20,65391.0,48.71,48.0,976.0,36.65,41.0,122.82,113.0,535.36,492.0,17.93,19.0,294.68,227.0,217.76,281.0,47.3,521.0,177.0,40.0,15.36,21.55,11.8,12.0,24.0,12.0,238.0,0.0,0.0
106,8474092,Jeremy Smith,COL,G,10,32563.0,24.72,32.0,487.0,18.7,23.0,61.39,71.0,270.05,286.0,7.64,6.0,150.22,92.0,113.26,150.0,23.95,285.0,63.0,29.0,8.26,7.36,9.09,10.0,10.0,12.0,110.0,0.0,0.0
111,8476903,Jon Gillies,CGY,G,1,3600.0,3.35,1.0,57.0,2.44,6.0,8.27,6.0,34.22,28.0,0.79,3.0,17.69,13.0,13.19,17.0,3.12,29.0,14.0,3.0,0.82,1.7,0.83,1.0,0.0,0.0,11.0,0.0,0.0
116,8476999,Linus Ullmark,BUF,G,1,3524.0,3.78,3.0,55.0,2.4,2.0,7.02,18.0,31.14,36.0,0.71,0.0,16.63,9.0,12.19,10.0,3.66,25.0,14.0,4.0,0.98,1.78,1.02,1.0,1.0,1.0,12.0,0.0,0.0
121,8470880,Brian Elliott,CGY,G,49,169465.0,123.04,121.0,2482.0,92.21,92.0,304.99,391.0,1333.6,1340.0,45.13,55.0,743.59,503.0,543.93,683.0,118.85,1395.0,343.0,113.0,38.65,43.51,40.88,30.0,56.0,35.0,631.0,4.0,2.0
126,8477831,Pheonix Copley,STL,G,1,3536.0,3.39,5.0,48.0,2.02,3.0,5.44,4.0,27.11,29.0,1.03,1.0,13.99,9.0,11.3,14.0,3.33,20.0,13.0,4.0,0.83,1.59,0.96,1.0,2.0,2.0,11.0,0.0,0.0
131,8471227,Devan Dubnyk,MIN,G,65,225180.0,140.95,141.0,3445.0,123.24,123.0,429.82,436.0,1830.39,1842.0,59.71,71.0,1046.91,780.0,767.69,1012.0,136.27,2049.0,405.0,113.0,54.95,48.29,37.7,54.0,51.0,36.0,878.0,10.0,5.0
136,8476992,Marek Mazanec,NSH,G,4,10655.0,7.7,14.0,158.0,5.84,3.0,20.92,23.0,90.53,87.0,3.48,4.0,50.87,28.0,38.65,58.0,7.56,94.0,27.0,6.0,2.66,3.52,1.53,5.0,6.0,3.0,31.0,0.0,0.0
141,8479115,Jorge Alves,CAR,G,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,8475831,Philipp Grubauer,WSH,G,24,75874.0,54.51,43.0,1108.0,42.08,50.0,139.79,152.0,597.77,585.0,19.14,18.0,335.15,252.0,237.77,299.0,51.99,597.0,182.0,50.0,16.99,21.56,15.97,10.0,15.0,18.0,279.0,0.0,0.0
151,8475717,Calvin Pickard,COL,G,50,168016.0,121.88,140.0,2585.0,96.85,105.0,321.97,382.0,1405.21,1461.0,41.77,40.0,807.95,582.0,602.39,731.0,115.82,1519.0,370.0,108.0,40.87,44.28,36.73,49.0,53.0,38.0,588.0,2.0,1.0
156,8475839,Louis Domingue,ARI,G,31,95921.0,79.3,82.0,1668.0,62.75,84.0,206.78,217.0,901.21,888.0,22.86,25.0,512.3,387.0,370.89,462.0,75.8,947.0,244.0,71.0,28.06,28.86,22.38,32.0,26.0,24.0,406.0,0.0,0.0
161,8466141,Roberto Luongo,FLA,G,40,139418.0,107.53,104.0,2017.0,75.5,98.0,258.57,297.0,1128.97,1218.0,38.5,37.0,628.18,449.0,473.08,600.0,101.93,1155.0,321.0,106.0,33.81,37.43,36.29,40.0,31.0,33.0,435.0,4.0,2.0
166,8477484,Spencer Martin,COL,G,2,7088.0,5.61,10.0,110.0,5.05,7.0,14.21,8.0,65.48,66.0,1.5,4.0,38.17,27.0,26.91,34.0,5.27,65.0,23.0,4.0,1.78,2.87,0.96,4.0,5.0,1.0,18.0,0.0,0.0
171,8475311,Darcy Kuemper,MIN,G,18,63182.0,44.5,55.0,1046.0,36.97,40.0,132.58,134.0,555.19,562.0,17.62,22.0,320.26,243.0,237.51,302.0,42.8,611.0,146.0,34.0,16.5,17.71,10.3,26.0,20.0,9.0,255.0,4.0,2.0
176,8468011,Ryan Miller,VAN,G,54,192711.0,146.94,150.0,2998.0,115.93,97.0,375.36,466.0,1660.06,1737.0,45.03,45.0,933.01,709.0,689.33,831.0,142.44,1740.0,453.0,122.0,49.39,56.12,41.43,48.0,56.0,46.0,683.0,2.0,1.0
181,8477465,Tristan Jarry,PIT,G,1,3525.0,2.29,3.0,50.0,1.85,0.0,6.45,9.0,26.56,25.0,0.81,1.0,15.75,13.0,10.78,11.0,2.25,27.0,9.0,2.0,0.95,0.93,0.41,2.0,1.0,0.0,12.0,0.0,0.0
186,8477480,Eric Comrie,WPG,G,1,3558.0,3.77,4.0,71.0,2.26,3.0,8.38,12.0,37.31,39.0,0.89,1.0,19.02,13.0,15.4,17.0,3.61,35.0,10.0,5.0,1.03,1.34,1.4,1.0,1.0,2.0,21.0,0.0,0.0
191,8473499,Reto Berra,FLA,G,7,18787.0,14.83,18.0,263.0,10.56,18.0,34.62,32.0,149.83,145.0,5.72,8.0,81.81,60.0,63.8,81.0,14.3,150.0,45.0,16.0,4.33,5.41,5.09,6.0,7.0,5.0,52.0,0.0,0.0
196,8473434,Chad Johnson,CGY,G,36,120792.0,94.7,87.0,1850.0,68.91,77.0,224.21,254.0,995.33,969.0,28.93,29.0,565.8,410.0,405.66,532.0,91.43,1028.0,274.0,90.0,30.12,33.2,31.38,30.0,29.0,28.0,458.0,0.0,0.0
201,8471469,Pekka Rinne,NSH,G,61,212867.0,145.61,144.0,3233.0,118.34,116.0,398.93,440.0,1748.01,1757.0,58.23,66.0,981.43,753.0,731.13,920.0,140.39,1923.0,377.0,131.0,53.78,46.15,45.68,42.0,52.0,50.0,802.0,4.0,2.0
206,8469514,Peter Budaj,T.B,G,60,198496.0,130.4,120.0,2763.0,98.73,88.0,335.18,306.0,1469.69,1414.0,55.61,84.0,813.94,633.0,604.42,825.0,126.09,1523.0,397.0,109.0,45.73,48.36,36.32,44.0,40.0,36.0,734.0,0.0,0.0
211,8477180,Aaron Dell,S.J,G,20,66633.0,49.84,37.0,1077.0,36.95,40.0,126.11,124.0,540.96,533.0,18.18,23.0,304.84,247.0,223.17,296.0,48.04,556.0,162.0,41.0,15.78,19.65,14.4,7.0,16.0,14.0,318.0,0.0,0.0
216,8476904,Chris Driedger,OTT,G,1,2400.0,1.62,4.0,39.0,1.23,1.0,4.35,5.0,17.43,15.0,0.88,2.0,10.87,9.0,7.36,5.0,1.57,22.0,2.0,2.0,0.84,0.18,0.6,3.0,0.0,1.0,13.0,0.0,0.0
221,8473553,Jeff Zatkoff,L.A,G,13,33024.0,17.61,27.0,413.0,14.81,12.0,50.41,61.0,219.53,223.0,9.49,13.0,122.18,68.0,89.19,126.0,17.2,222.0,68.0,11.0,6.15,8.22,3.23,8.0,13.0,6.0,112.0,0.0,0.0
226,8475622,Carter Hutton,STL,G,30,87543.0,59.14,58.0,1264.0,46.29,46.0,152.32,169.0,669.95,663.0,21.11,24.0,377.93,291.0,273.09,342.0,57.53,698.0,184.0,48.0,21.1,22.34,15.7,19.0,23.0,16.0,334.0,4.0,2.0
